FYC-13200-01		Community-Based Learning	Strauss, Charles	First Year Composition	2011-01-03	2011-05-13	Spring$$1NA
ARCH-53321-01		American Towns and Cities	Steil, Lucien	Architecture	2014-12-20	2015-05-08	$$1Spring
POLS-30562-01		Contemporary Dictatorship	Dukalskis, Alexander	Political Science	2012-12-17	2013-05-10	Spring$$1NA
CSEM-23101-12		Diversity and Equality	Jindra, Michael	College Seminar	2012-08-06	2012-12-14	Fall$$1NA
HIST-30988-01		Slavery in the Atlantic World	Challenger, Denise	History	2010-01-04	2010-05-07	Spring ENG$$1NA
ARCH-41121-04		Design VI	Krusche, Krupali	Architecture	2012-12-17	2013-05-10	Spring$$1NA
ENGL-20147-01		Environment and Literature	Drew, Erin	English	2011-04-29	2011-05-13	Spring$$1NA
ECON-10011-05		Principles of Microeconomics	Lipscomb, Molly	Economics	2010-01-04	2010-05-07	Spring ENG$$1NA
BAMG-30700-08		Introduction to Process Analytics	Sarathy, Shri	Management	2012-08-06	2012-12-10	$$1Spring$$2NA
CLAS-40820-01		Writing History in Ancient Greece & Rome	Baron, Christopher	Classics	2011-01-03	2011-05-13	Spring$$1NA
LIT-73566-01		Fictions of Development	Boes, Tobias	Literature	2010-01-04	2010-05-07	Spring ENG$$1NA
MUS-10142-01		Music and Protest in the Arab World	Jarjour, Tala	Music	2012-12-17	2013-05-10	Spring$$1NA
THEO-60806-01		Ecclesiology: Nature, History, Mission and Issues Challenging the Church	Phelps, Jamie	Theology	2012-12-17	2013-05-10	Spring$$1NA
MUS 60161-01		Psalmody	Jeffrey, Peter	Music	2010-01-04	2010-05-07	Spring ENG$$1NA
PHIL-93632-01		Political Philosophy and the Problem of Evil	Sterba, James	Philosophy	2014-07-28	2014-12-19	Fall$$1NA
MIC-2006-08		Microphone Check-Out	INSTRUCTOR	OIT	2006-08-22	2015-12-22	$$1Fall$$2Spring$$3Summer$$4Intersession
DMA-83102-01		Sacred Music in the Twentieth-Century: Britten and Messiaen	Chowrimootoo, Christopher	Music	2014-07-28	2014-12-19	Fall$$1NA
ARCH-51121-04		Design VIII Thesis	Gorski, Gilbert	Architecture	2014-12-20	2015-05-08	$$1Spring
BIOS-30325-01		Plant Science	Romero-Severson, Jeanne	Biological Sciences	2013-08-05	2013-12-20	Fall$$1NA
SOC-20033-02		Introduction to Social Problems	Escher, Daniel	Sociology	2014-07-28	2014-12-19	Fall$$1NA
ANTH-45860-01		Food and Culture	Blum, Susan	Anthropology	2011-01-03	2011-05-13	Spring$$1NA
PSY-20000-01		Introductory Psychology	Diehl, Joshua	Psychology	2011-11-17	2011-12-16	Fall$$1NA
